date, pm25, pm10, o3, no2, so2, co
2024/11/19, 14, 16, 23, 4, 6, 1
2024/11/20, 26, 22, 24, 2, 2, 
2024/11/21, 38, 19, 37, 3, 1, 1
2024/11/22, 33, 21, 35, 2, 1, 1
2024/11/26, 677, 13, 30, 2, , 1
2024/11/27, 711, 11, 22, 2, , 
2024/11/28, 12, 4, 18, 2, 2, 
2024/11/29, 3, 6, 16, 1, 1, 1
2024/11/30, 4, 6, 33, 2, , 
2024/12/1, 5, 13, 33, 2, 2, 1
2024/12/2, 9, 16, 25, 2, , 
2024/12/3, 11, 23, 23, 3, 7, 
2024/12/4, 11, 18, 37, 3, , 
2024/12/5, 8, 30, 44, 5, , 1
2024/12/6, 16, 16, 35, 2, , 1
2024/12/7, 14, 17, 21, , , 
2024/12/8, 8, 18, 22, 2, , 
2024/12/9, 8, 12, 20, 2, , 
2024/12/10, 6, 14, 28, 2, , 
2024/12/11, 6, 12, 21, 2, , 1
2024/12/12, 8, 8, 17, 1, , 
2024/12/13, 5, 16, 29, 1, , 
2024/12/14, 9, 17, 30, 1, 1, 1
2024/12/15, 16, 19, 40, 2, 1, 1
2024/12/16, 17, 23, 34, 1, , 1
2024/12/17, 22, 23, 16, 2, , 
2024/12/18, 21, 15, 22, 1, 1, 1
2024/12/19, 15, 17, 30, 1, , 1
2024/12/20, 21, 20, 24, , , 
2024/12/21, 25, 19, 18, 1, , 
2024/12/22, 21, 10, 16, 1, , 
2024/12/23, 12, 10, 12, 1, , 
2024/12/24, 14, 5, 22, , , 
2024/12/25, 8, 14, 35, 2, , 1
2024/12/26, 18, 18, 18, 1, , 
2024/12/27, 20, 13, 20, 1, , 
2024/12/28, 15, 9, 20, 1, , 
2024/12/29, 15, , , , , 
2024/7/1, 22, 14, 15, 6, , 1
2024/7/2, 25, 13, 17, 6, , 1
2024/7/3, 33, 10, 16, 5, , 1
2024/7/4, 31, 7, 15, 3, , 1
2024/7/5, 22, 16, 18, 2, 2, 1
2024/7/6, 21, 10, 11, 5, , 1
2024/7/7, 30, 19, 4, 6, , 2
2024/7/8, 38, 9, 11, 6, , 2
2024/7/9, 33, 2, 16, 6, , 1
2024/7/10, 17, 14, 4, 7, , 2
2024/7/11, 45, 13, 8, 8, 1, 2
2024/7/12, 30, 10, 19, 3, , 1
2024/7/13, 32, 6, 23, 2, , 
2024/7/14, 11, 3, 24, 2, , 1
2024/7/15, 7, 9, 20, 4, , 
2024/7/16, 15, 9, 16, 4, , 1
2024/7/17, 22, 5, 23, 3, , 
2024/7/18, 9, 6, 18, 3, , 1
2024/7/19, 9, 6, 22, 1, 4, 
2024/7/20, 9, 10, 21, 1, , 
2024/7/21, 16, 6, 16, 2, , 
2024/7/22, 12, 9, 18, 3, , 
2024/7/23, 14, 20, 11, 9, , 2
2024/7/24, 31, 9, 18, 5, 1, 1
2024/7/25, 14, 9, 20, 4, 1, 
2024/7/26, 12, 13, 21, 4, , 1
2024/7/27, 18, 7, 23, 1, , 
2024/7/28, 11, 9, 19, 5, , 1
2024/7/29, 18, 15, 10, 7, 3, 2
2024/7/30, 42, 15, 20, 5, , 2
2024/7/31, 38, 13, 18, 6, , 2
2024/8/1, 29, 20, 8, 9, 1, 3
2024/8/2, 38, 17, 12, 5, , 3
2024/8/3, 36, 10, 15, 3, , 3
2024/8/4, 46, 15, 10, 6, , 
2024/8/5, 27, 9, 16, 4, , 1
2024/8/6, 26, 8, 18, 4, , 1
2024/8/7, 13, 20, 7, 8, 2, 3
2024/8/8, 33, 12, 15, 6, , 2
2024/8/9, 17, 15, 15, 3, , 2
2024/8/10, 26, 12, 15, 3, , 2
2024/8/11, 35, 18, 12, 6, 2, 3
2024/8/12, 41, 17, 13, 7, 1, 3
2024/8/13, 46, 19, 13, 7, , 3
2024/8/14, 38, 19, 15, 7, , 3
2024/8/15, 30, 17, 4, 8, , 3
2024/8/16, 44, 8, 20, 3, , 1
2024/8/17, 19, 16, 23, 2, , 
2024/8/18, 23, 12, 16, 3, , 2
2024/8/19, 25, 14, 7, 6, , 2
2024/8/20, 40, 8, 20, 4, , 1
2024/8/21, 18, 9, , 4, , 
2024/8/22, 15, 12, , 4, , 1
2024/8/23, 18, 10, , 2, , 1
2024/8/24, 13, 16, , 1, , 1
2024/8/25, 18, 7, , 2, , 
2024/8/26, 11, 8, , 2, , 1
2024/8/27, 10, 18, , 1, , 
2024/8/28, 17, 21, , 4, 3, 1
2024/8/29, 26, 14, , 2, 1, 1
2024/8/30, 19, 9, , , , 
2024/8/31, 12, 13, , , 1, 1
2024/9/1, 9, 17, , , 1, 
2024/9/2, 16, 31, , 4, , 1
2024/9/3, 27, 18, , 6, 3, 1
2024/9/4, 37, 13, , 5, 1, 1
2024/9/5, 22, 19, , 4, , 1
2024/9/6, 25, , , 2, , 1
2024/9/7, 19, , , 1, , 1
2024/9/8, 12, , , 2, , 1
2024/9/9, 13, , , 5, , 1
2024/9/10, 15, 11, , 5, , 1
